"","Country","Project.name","Subtype.of.PPI","Project.status","Subsector","Location4.1","ContractPeriod","InvestmentYear","TotalInvestment","CapacityType","Capacity","lon","lat"
"173","China","Xiangfan Xiangcheng Guanyinge Wastewater Treatment Plant","BOT","Active","Treatment plant","Xiangfan City","25",2006,"12.55","Cubic meters per day (in thousands)","100",112.122426,32.009016
"174","China","Xinyu Water Affairs Group Co., Ltd. ","ROT","Active","Water Utility","Xinyu City","30",2006,"12.55","Population (in thousands)","500",114.917346,27.817808
"175","China","Zhangzhu Town Waste Water Treatment Plant","Lease","Active","Treatment plant","Zhangzhu Town","25",2006,"2","Cubic meters per day (in thousands)","10",103.875775,33.28915
"176","China","Zhejiang Lishui Yunhe Wastewater Treatment Plant","BOT","Active","Treatment plant","Yunhe County","27",2006,NA,"Cubic meters per day (in thousands)","30",119.573397,28.11579
"177","China","Baotou City Wanshuiquan District Wastewater Treatment Project","BOT","Active","Treatment plant","Baotou City","30",2007,"52.63","Cubic meters per day (in thousands)","200",109.840313,40.657978
"178","China","Beijing No. 10 Water Plant A","BOT","Active","Treatment plant","Beijing Municipality","23",2007,"197.37","Cubic meters per day (in thousands)","500",116.4073963,39.9041999
"179","China","Binzhou City Nanhai Water Supply Project","BOT","Active","Treatment plant","Binzhou City","30",2007,"9.47","Cubic meters per day (in thousands)","50",117.970699,37.38198
"180","China","Daming County Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Daming County","30",2007,"6.26","Cubic meters per day (in thousands)","20",115.147814,36.285616
"181","China","Dezhou City Xiajin Water Supply Project","BOT","Active","Treatment plant","Xiajin County","28",2007,"13.47","Cubic meters per day (in thousands)","104",116.001726,36.948371
"182","China","Fengxiang County wastewater treatment project","BOT","Active","Treatment plant","Fengxiang County","26",2007,"7.5","Cubic meters per day (in thousands)","20",107.400737,34.521217
"183","China","Foshan City Wastewater Treatment Project","BOT","Active","Treatment plant","Shishan Town","23",2007,"7.89","Cubic meters per day (in thousands)","50",120.524248,31.4510805
"184","China","Gaoan City Water Affairs Group Ltd. ","ROT","Active","Water Utility","Gaoan City","30",2007,"13.16","Population (in thousands)","830",115.360554,28.441209
"185","China","Guanyun County Water Supply and Wastewater Treatment Plant","BOT","Active","Treatment plant","Guanyun County","30",2007,"16.75","Cubic meters per day (in thousands)","80",119.239381,34.284381
"186","China","Haikou City No. 1 Water Affairs Company Limited","ROT","Active","Water Utility","Haikou City","30",2007,"122.82","Population (in thousands)","800",110.198286,20.044412
"187","China","Hanzhong City Xingyuan Water Supply Company Ltd","ROT","Active","Water Utility","Hanzhong City","25",2007,"13.59","Population (in thousands)","280",107.023323,33.06748
"188","China","Hu County Wastewater Treatment and Recycling Project","BOT","Active","Treatment plant","Hu County","30",2007,"12.89","Cubic meters per day (in thousands)","60",108.604894,34.109244
"189","China","Huangpi Sewerage Collection Network Project","BOT","Active","Water Utility","Huangpi District","20",2007,"43.42","Cubic meters per day (in thousands)","450",114.375743,30.882557
"190","China","Huangpi Water Supply Facilities","ROT","Active","Water Utility","Huangpi District","30",2007,"110.53","Population (in thousands)","1130",114.375743,30.882557
"191","China","Jining Haiyuan Water Co., Ltd.","ROT","Active","Treatment plant","Jining City","29",2007,"5.27","Cubic meters per day (in thousands)","30",116.587282,35.414982
"192","China","Lankao County Wastewater Treatment Plant","BOT","Active","Treatment plant","Lankao County","18",2007,"4.34","Cubic meters per day (in thousands)","25",114.821348,34.822211
"193","China","Lanzhou City Water Supply Group ","ROT","Active","Water Utility","Lanzhou City","30",2007,"225","Population (in thousands)","1730",103.834303,36.061089
"194","China","Linyi Hedong Water Co., Ltd. ","ROT","Active","Treatment plant","Linyi City","30",2007,"5.92",NA,NA,118.356414,35.104673
"195","China","Lujiang County Urban Wastewater Treatment Plant Project","BOT","Active","Treatment plant","Lujiang County","25",2007,NA,"Cubic meters per day (in thousands)","20",117.2878,31.25555
"196","China","Nanjing City North Wastewater Treatment Plant","ROT","Active","Treatment plant","Nanjing City","30",2007,"65.79","Cubic meters per day (in thousands)","300",118.796877,32.060255
"197","China","Nanjing Jiangning City North Wastewater Treatment Plant","BOT","Active","Treatment plant","Nanjing City","25",2007,"14.47","Cubic meters per day (in thousands)","120",118.796877,32.060255
"198","China","Suizhou City Urban Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Suizhou City","22",2007,"6.58","Cubic meters per day (in thousands)","50",113.382458,31.690215
"199","China","Suqian City Yanghe Wastewater Treatment Plant","Management","Concluded","Treatment plant","Suqian City","3",2007,NA,"Cubic meters per day (in thousands)","10",118.275198,33.963232
"200","China","Suzhou City Five Wastewater Treatment Plants","ROT","Active","Treatment plant","Suzhou City","25",2007,"59.21","Cubic meters per day (in thousands)","360",120.585289,31.298974
"201","China","Taizhou City North Wastewater Treatment Plant","BOT","Active","Treatment plant","Taizhou City","30",2007,"7.24","Cubic meters per day (in thousands)","80",121.42076,28.65638
"202","China","Tianjin City North Water Affairs Company Limited","ROT","Active","Water Utility","Tianjin Municipality","30",2007,"406.5","Population (in thousands)","1750",117.3616476,39.3433574
"203","China","Wangcheng County Wastewater Treatment Plant Stage I","BOT","Active","Treatment plant","Wangcheng County","27",2007,"17.1","Cubic meters per day (in thousands)","40",112.833836,28.353912
"204","China","Wuhu City Tianmenshan Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Wuhu City","25",2007,"9.21","Cubic meters per day (in thousands)","60",118.432941,31.352859
"205","China","Xi'an City Chang'an District Wastewater Treatment Project","BOT","Active","Treatment plant","Chang'an District","25",2007,"17.63","Cubic meters per day (in thousands)","100",108.906994,34.158997
"206","China","Xianning City Wenquan Wastewater Plant","BOT","Active","Treatment plant","Xianning City","25",2007,"5.47","Cubic meters per day (in thousands)","60",114.322439,29.841438
"207","China","Xinmin Wastewater Treatment Plant","BOT","Active","Treatment plant","Xinmin City","30",2007,"13.55","Cubic meters per day (in thousands)","60",122.836723,41.985186
"208","China","Xuyi County Water Supply Company","ROT","Active","Water Utility","Xuyi County","30",2007,"5.21",NA,NA,118.54436,33.01197
"209","China","Yangzhong City Water Company","ROT","Active","Treatment plant","Yangzhong City","25",2007,"6.45","Cubic meters per day (in thousands)","75",119.797634,32.23483
"210","China","Yichun City Water Supply Co., Ltd.","ROT","Active","Treatment plant","Yichun City","30",2007,"3.95","Cubic meters per day (in thousands)","100",114.416785,27.815743
"211","China","Yidu Wastewater Treatment Project","BOT","Active","Water Utility","Yichu City","25",2007,"8.26",NA,NA,126.0580032,42.9448866
"212","China","Yongshun County Wastewater Treatment Plant","BOT","Active","Treatment plant","Yongshun County","30",2007,"7.3","Cubic meters per day (in thousands)","30",109.851254,29.00144
"213","China","Zhaoan County Wastewater Treatment Plant","BOT","Active","Treatment plant","Zhaoan County","30",2007,"8.55","Cubic meters per day (in thousands)","60",117.175184,23.711579
"214","China","Zhoukou City Water Affairs Group Ltd. ","ROT","Active","Treatment plant","Zhoukou City","30",2007,"6.58","Cubic meters per day (in thousands)","30",114.69695,33.626149
"215","China","Xigu Wastewater Treatment BOT Project","BOT","Active","Treatment plant","Lanzhou City","30",2008,"18.598","Cubic meters per day (in thousands)","100",103.834303,36.061089
"216","China","Bama County Wastewater Treatment Plant ","BOT","Active","Treatment plant","Bama County","30",2009,"4.43","Cubic meters per day (in thousands)","15",107.258588,24.142298
"217","China","Baoji Shilipu Wastewater Treatment Plant ","ROT","Active","Treatment plant","Baoji City","26",2009,"19.85","Cubic meters per day (in thousands)","120",107.237743,34.363184
"218","China","Changde City Jiangnan Wastewater Treatment Plant","BOT","Active","Treatment plant","Changde City","30",2009,"4.65","Cubic meters per day (in thousands)","15",111.698784,29.031654
"219","China","Changzhou City Wujin District Wastewater Treatment","Lease","Active","Treatment plant","Wujin District","5",2009,NA,"Cubic meters per day (in thousands)","130",119.942437,31.701187
"220","China","Chenzhou City No. 3 Wastewater Treatment Plant","BOT","Active","Treatment plant","Chenzhou City","26",2009,"10.25","Cubic meters per day (in thousands)","45",113.014717,25.770509
"221","China","Chongqing Municipality Yuelai Water Supply Plant ","BOT","Active","Water Utility","Chongqing Municipality","30",2009,"214.59","Cubic meters per day (in thousands)","600",106.912251,29.4315861
"222","China","Duyun City Wastewater Treatment Plant","ROT","Active","Treatment plant","Duyun City","30",2009,"10.73","Cubic meters per day (in thousands)","60",107.518847,26.259427
"223","China","Gong County Wastewater Treatment Plant","BOT","Active","Treatment plant","Gong County","25",2009,"7.18","Cubic meters per day (in thousands)","20",104.709202,28.43863
"224","China","Guangxi Bobai County Wastewater Treatment Plant Project","BOT","Active","Treatment plant","Bobai County","28",2009,"19.16","Cubic meters per day (in thousands)","5",109.975985,22.273048
"225","China","Guanling County and Ziyun County Wastewater Treatment Plants","BOT","Active","Treatment plant","Guanling County","30",2009,"6.8","Cubic meters per day (in thousands)","8",105.61933,25.94361
"226","China","Huangmei County Wastewater Treatment Plant","BOT","Active","Treatment plant","Huangmei County","30",2009,"7.08","Cubic meters per day (in thousands)","30",115.944218,30.070453
"227","China","Jiangmen City Jianghai Wastewater Treatment Plant","BOT","Active","Treatment plant","Jiangmen City","26",2009,"9.59","Cubic meters per day (in thousands)","50",113.081508,22.579117
"228","China","Jiangmen City Sinan Town Wastewater Treatment Plant","BOT","Active","Treatment plant","Siqian Town","30",2009,"2.93","Cubic meters per day (in thousands)","5",120.4086852,30.4613976
"229","China","Jinshi City Wastewater Treatment Plant","BOT","Active","Treatment plant","Jinshi City","30",2009,"5.12","Cubic meters per day (in thousands)","40",111.877499,29.60548
"230","China","Juye County Wastewater Treatment Plant ","ROT","Active","Treatment plant","Juye County","30",2009,"5.72","Cubic meters per day (in thousands)","40",116.065396,35.387374
"231","China","Lechang City Pingshi Wastewater Treatment Plant Phase I","BOT","Active","Treatment plant","Lechang City","25",2009,"7.15","Cubic meters per day (in thousands)","20",113.347545,25.130602
"232","China","Lianyuan City Wastewater Treatment Plant","BOT","Active","Treatment plant","Lianyuan City","30",2009,"5.56","Cubic meters per day (in thousands)","20",111.664316,27.692542
"233","China","Licheng Wastewater Treatment Plant","BOT","Active","Treatment plant","Licheng District","30",2009,"5.86","Cubic meters per day (in thousands)","35",117.06523,36.680259
"234","China","Lufeng County Wastewater Treatment Plant ","BOT","Active","Treatment plant","Lufeng County","34",2009,"14.26","Cubic meters per day (in thousands)","10",102.079027,25.150111
"235","China","Miluo City Wastewater Treatment Plant","BOT","Active","Treatment plant","Miluo City","28",2009,"6.15","Cubic meters per day (in thousands)","25",113.06724,28.806394
